Change,Edition,Before reference,Before text,After reference,After text,Reason,Source
source-correction,World English Bible (WEB),Isaiah 40:31,"But those who wait for the LORD will renew their strength. They will mount up with wings like eagles. They will run, and not be weary. They will walk, and not faint.",Isaiah 40:31,"but those who wait for the LORD will renew their strength. They will mount up with wings like eagles. They will run, and not be weary. They will walk, and not faint.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engwebu_usfx.zip
source-correction,Lutherbibel (1912),Psalm 34:18,"Der HERR ist nahe bei denen, die zerbrochnes Herzens sind, und hilft denen, die ein zerschlagen Gemüt haben.",Psalm 34:19,"Der HERR ist nahe bei denen, die zerbrochnes Herzens sind, und hilft denen, die ein zerschlagen Gemüt haben.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/deu1912_usfx.zip
source-correction,Louis Segond (1910),Psalm 34:18,"Quand les justes crient, l’Éternel entend, Et il les délivre de toutes leurs détresses;",Psalm 34:19,"L’Éternel est près de ceux qui ont le cœur brisé, Et il sauve ceux qui ont l’esprit dans l’abattement.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 55:22,"Put your troubles on the Lord, and he will be your support; he will not let the upright man be moved.",Psalm 55:22,"Put your cares on the Lord, and he will be your support; he will not let the upright man be moved.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Lutherbibel (1912),Psalm 55:22,Wirf dein Anliegen auf den HERRN; der wird dich versorgen und wird den Gerechten nicht ewiglich in Unruhe lassen.,Psalm 55:23,Wirf dein Anliegen auf den HERRN; der wird dich versorgen und wird den Gerechten nicht ewiglich in Unruhe lassen.,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/deu1912_usfx.zip
source-correction,Louis Segond (1910),Psalm 55:22,"Sa bouche est plus douce que la crème, Mais la guerre est dans son cœur; Ses paroles sont plus onctueuses que l’huile, Mais ce sont des épées nues.",Psalm 55:23,"Remets ton sort à l’Éternel, et il te soutiendra, Il ne laissera jamais chanceler le juste.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/fraLSG_usfx.zip
source-correction,Bible in Basic English (BBE),2 Corinthians 5:7,"For our life is guided by faith, not by sight.",2 Corinthians 5:7,"(For we are walking by faith, not by seeing,)","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,World English Bible (WEB),2 Corinthians 5:7,"For we walk by faith, not by sight.",2 Corinthians 5:7,"for we walk by faith, not by sight.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Berean Standard Bible (BSB),2 Corinthians 12:9,"But He said to me, “My grace is sufficient for you, for My power is perfected in weakness.” Therefore I will boast all the more gladly in my weaknesses, so that the power of Christ may rest on me.",Hebrews 4:15,"For we do not have a high priest who is unable to sympathize with our weaknesses, but we have one who was tempted in every way that we are, yet was without sin.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),2 Corinthians 12:9,"And he said to me, My grace is enough for you, for my power is made complete in what is feeble.",Hebrews 4:15,"For we have not a high priest who is not able to be touched by the feelings of our feeble flesh; but we have one who has been tested in all points as we ourselves are tested, but without sin.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),2 Corinthians 12:9,"And he said unto me, My grace is sufficient for thee: for my strength is made perfect in weakness. Most gladly therefore will I rather glory in my infirmities, that the power of Christ may rest upon me.",Hebrews 4:15,"For we have not an high priest which cannot be touched with the feeling of our infirmities; but was in all points tempted like as we are, yet without sin.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),2 Corinthians 12:9,"He has said to me, “My grace is sufficient for you, for my power is made perfect in weakness.” Most gladly therefore I will rather glory in my weaknesses, that the power of Christ may rest on me.",Hebrews 4:15,"For we don’t have a high priest who can’t be touched with the feeling of our infirmities, but one who has been in all points tempted like we are, yet without sin.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),2 Corinthians 12:9,"Und er hat zu mir gesagt: Laß dir an meiner Gnade genügen; denn meine Kraft ist in den Schwachen mächtig. Darum will ich mich am allerliebsten rühmen meiner Schwachheit, auf daß die Kraft Christi bei mir wohne.",Hebrews 4:15,"Denn wir haben nicht einen Hohenpriester, der nicht könnte Mitleiden haben mit unsern Schwachheiten, sondern der versucht ist allenthalben gleichwie wir, doch ohne Sünde.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),2 Corinthians 12:9,"et il m’a dit: Ma grâce te suffit, car ma puissance s’accomplit dans la faiblesse. Je me glorifierai donc bien plus volontiers de mes faiblesses, afin que la puissance de Christ repose sur moi.",Hebrews 4:15,"Car nous n’avons pas un souverain sacrificateur qui ne puisse compatir à nos faiblesses; au contraire, il a été tenté comme nous en toutes choses, sans commettre de péché.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),2 Corinthians 12:9,"ed egli mi ha detto: La mia grazia ti basta, perché la mia potenza si dimostra perfetta nella debolezza. Perciò molto volentieri mi glorierò piuttosto delle mie debolezze, onde la potenza di Cristo riposi su me.",Hebrews 4:15,"Perché non abbiamo un Sommo Sacerdote che non possa simpatizzare con noi nelle nostre infermità; ma ne abbiamo uno che in ogni cosa è stato tentato come noi, però senza peccare.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),2 Corinthians 12:9,"Y me ha dicho: Bástate mi gracia; porque mi potencia en la flaqueza se perfecciona. Por tanto, de buena gana me gloriaré más bien en mis flaquezas, porque habite en mí la potencia de Cristo.",Hebrews 4:15,"Porque no tenemos un Pontífice que no se pueda compadecer de nuestras flaquezas; mas tentado en todo según nuestra semejanza, pero sin pecado.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),2 Corinthians 12:9,അവൻ എന്നോടു: എന്റെ കൃപ നിനക്കുമതി; എന്റെ ശക്തി ബലഹീനതയിൽ തികഞ്ഞുവരുന്നു എന്നു പറഞ്ഞു. ആകയാൽ ക്രിസ്തുവിന്റെ ശക്തി എന്റെമേൽ ആവസിക്കേണ്ടതിന്നു ഞാൻ അതിസന്തോഷത്തോടെ എന്റെ ബലഹീനതകളിൽ പ്രശംസിക്കും.,Hebrews 4:15,നമുക്കുള്ള മഹാപുരോഹിതൻ നമ്മുടെ ബലഹീനതകളിൽ സഹതാപം കാണിപ്പാൻ കഴിയാത്തവനല്ല; പാപം ഒഴികെ സൎവ്വത്തിലും നമുക്കു തുല്യമായി പരീക്ഷിക്കപ്പെട്ടവനത്രേ നമുക്കുള്ളതു.,The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),2 Corinthians 12:9,"At siya'y nagsabi sa akin, Ang aking biyaya ay sapat na sa iyo: sapagka't ang aking kapangyarihan ay nagiging sakdal sa kahinaan. Kaya't bagkus akong magmamapuri na may malaking galak sa aking kahinaan upang manahan nawa sa akin ang kapangyarihan ni Cristo.",Hebrews 4:15,"Sapagka't tayo'y walang isang dakilang saserdote na hindi maaaring mahabag sa ating kahinaan, kundi isa na tinukso sa lahat ng mga paraan gaya rin naman natin gayon ma'y walang kasalanan.",The full verse is long for a card; this full verse also offers comfort through Christ's understanding of weakness.,https://api.getbible.net/v2/tagalog.json
source-correction,World English Bible (WEB),1 Peter 5:7,"Casting all your worries on him, because he cares for you.",1 Peter 5:7,"casting all your worries on him, because he cares for you.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engwebu_usfx.zip
source-correction,Bible in Basic English (BBE),1 John 4:19,Our love is because he first had love for us.,1 John 4:19,"We have the power of loving, because he first had love for us.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,Berean Standard Bible (BSB),Romans 8:38-39,"For I am convinced that neither death nor life, neither angels nor principalities, neither the present nor the future, nor any powers, neither height nor depth, nor anything else in all creation, will be able to separate us from the love of God that is in Christ Jesus our Lord.",Romans 8:32,"He who did not spare His own Son but gave Him up for us all, how will He not also, along with Him, freely give us all things?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),Romans 8:38-39,"For I am certain that not death, or life, or angels, or principalities, or things present, or things to come, or powers, or height, or depth, or any other living thing, will be able to make us separate from the love of God which is ours in Christ Jesus our Lord.",Romans 8:32,"He who did not keep back his only Son, but gave him up for us all, will he not with him freely give us all things?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),Romans 8:38-39,"For I am persuaded, that neither death, nor life, nor angels, nor principalities, nor powers, nor things present, nor things to come, Nor height, nor depth, nor any other creature, shall be able to separate us from the love of God, which is in Christ Jesus our Lord.",Romans 8:32,"He that spared not his own Son, but delivered him up for us all, how shall he not with him also freely give us all things?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),Romans 8:38-39,"For I am persuaded that neither death, nor life, nor angels, nor principalities, nor things present, nor things to come, nor powers, nor height, nor depth, nor any other created thing will be able to separate us from God’s love which is in Christ Jesus our Lord.",Romans 8:32,"He who didn’t spare his own Son, but delivered him up for us all, how would he not also with him freely give us all things?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),Romans 8:38-39,"Denn ich bin gewiß, daß weder Tod noch Leben, weder Engel noch Fürstentümer noch Gewalten, weder Gegenwärtiges noch Zukünftiges, weder Hohes noch Tiefes noch keine andere Kreatur mag uns scheiden von der Liebe Gottes, die in Christo Jesu ist, unserm HERRN.",Romans 8:32,"welcher auch seines eigenen Sohnes nicht hat verschont, sondern hat ihn für uns alle dahingegeben; wie sollte er uns mit ihm nicht alles schenken?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),Romans 8:38-39,"Car j’ai l’assurance que ni la mort ni la vie, ni les anges ni les dominations, ni les choses présentes ni les choses à venir, ni les puissances, ni la hauteur, ni la profondeur, ni aucune autre créature ne pourra nous séparer de l’amour de Dieu manifesté en Jésus-Christ notre Seigneur.",Romans 8:32,"Lui, qui n’a point épargné son propre Fils, mais qui l’a livré pour nous tous, comment ne nous donnera-t-il pas aussi toutes choses avec lui?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),Romans 8:38-39,"Poiché io son persuaso che né morte, né vita, né angeli, né principati, né cose presenti, né cose future, né potestà, né altezza, né profondità, né alcun’altra creatura potranno separarci dall’amore di Dio, che è in Cristo Gesù, nostro Signore.",Romans 8:32,"Colui che non ha risparmiato il suo proprio Figliuolo, ma l’ha dato per tutti noi, come non ci donerà egli anche tutte le cose con lui?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),Romans 8:38-39,"Por lo cual estoy cierto que ni la muerte, ni la vida, ni ángeles, ni principados, ni potestades, ni lo presente, ni lo por venir, Ni lo alto, ni lo bajo, ni ninguna criatura nos podrá apartar del amor de Dios, que es en Cristo Jesús Señor nuestro.",Romans 8:32,"El que aun á su propio Hijo no perdonó, antes le entregó por todos nosotros, ¿cómo no nos dará también con él todas las cosas?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),Romans 8:38-39,മരണത്തിന്നോ ജീവന്നോ ദൂതന്മാൎക്കോ വാഴ്ചകൾക്കോ അധികാരങ്ങൾക്കോ ഇപ്പോഴുള്ളതിന്നോ വരുവാനുള്ളതിന്നോ ഉയരത്തിന്നോ ആഴത്തിന്നോ മറ്റു യാതൊരു സൃഷ്ടിക്കോ നമ്മുടെ കൎത്താവായ യേശുക്രിസ്തുവിലുള്ള ദൈവസ്നേഹത്തിൽ നിന്നു നമ്മെ വേറുപിരിപ്പാൻ കഴികയില്ല എന്നു ഞാൻ ഉറെച്ചിരിക്കുന്നു.,Romans 8:32,സ്വന്തപുത്രനെ ആദരിക്കാതെ നമുക്കു എല്ലാവൎക്കും വേണ്ടി ഏല്പിച്ചുതന്നവൻ അവനോടുകൂടെ സകലവും നമുക്കു നല്കാതിരിക്കുമോ?,The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),Romans 8:38-39,"Sapagka't ako'y naniniwalang lubos, na kahit ang kamatayan man, kahit ang buhay, kahit ang mga anghel, kahit ang mga pamunuan, kahit ang mga bagay na kasalukuyan, kahit ang mga bagay na darating, kahit ang mga kapangyarihan, Kahit ang kataasan, kahit ang kababaan, kahit ang alin mang ibang nilalang, ay hindi makapaghihiwalay sa atin sa pagibig ng Dios, na nasa kay Cristo Jesus na Panginoon natin.",Romans 8:32,"Siya, na hindi ipinagkait ang kaniyang sariling anak kundi ibinigay dahil sa ating lahat, bakit hindi naman ibibigay sa atin ng walang bayad ang lahat ng mga bagay?",The two-verse passage is very long and overlaps the existing Romans 8:39 card; this full verse affirms God's generosity.,https://api.getbible.net/v2/tagalog.json
source-correction,Bible in Basic English (BBE),Revelation 21:4,And he will make all their grief come to an end; and there will be no more death or sorrow or crying or pain; for the first things have come to an end.,Revelation 21:4,"And he will put an end to all their weeping; and there will be no more death, or sorrow, or crying, or pain; for the first things have come to an end.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 23:1,The Lord is my keeper; I will have need of nothing.,Psalm 23:1,The Lord takes care of me as his sheep; I will not be without any good thing.,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 23:4,"Yes, though I go through the valley of the shadow of death, I will have no fear of evil; for you are with me; your rod and your support give me comfort.",Psalm 23:4,"Yes, though I go through the valley of deep shade, I will have no fear of evil; for you are with me, your rod and your support are my comfort.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 37:5,Put your way into the hands of the Lord; have faith in him and he will do it.,Psalm 37:5,Put your life in the hands of the Lord; have faith in him and he will do it.,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 37:4,"So take your delight in the Lord, and he will give you your heart's desires.",Psalm 37:4,"So will your delight be in the Lord, and he will give you your heart's desires.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Psalm 27:1,The Lord is my light and my salvation; whom will I go in fear of? The Lord is the strength of my life; before whom will I be without hope?,Psalm 27:1,The Lord is my light and my salvation; who is then a cause of fear to me? the Lord is the strength of my life; who is a danger to me?,"Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Jeremiah 33:3,"Give ear to my cry and I will give you an answer, and let you see great things and secret things of which you had no knowledge.",Jeremiah 33:3,"Let your cry come to me, and I will give you an answer, and let you see great things and secret things of which you had no knowledge.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),James 1:5,"But if any man is in need of wisdom, let him make his request to God, who gives freely to all without bitter words, and it will be given to him.",James 1:5,"But if any man among you is without wisdom, let him make his request to God, who gives freely to all without an unkind word, and it will be given to him.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Hebrews 4:16,"Then let us come with a good heart to the throne of grace, that we may have mercy and get grace in time of need.",Hebrews 4:16,"Then let us come near to the seat of grace without fear, so that mercy may be given to us, and we may get grace for our help in time of need.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
source-correction,Bible in Basic English (BBE),Hebrews 13:5,"Be free from the love of money, resting satisfied with such things as you have; for he has said, I will never go from you or give you up.",Hebrews 13:5,"Be free from the love of money and pleased with the things which you have; for he himself has said, I will be with you at all times.","Match the named edition source exactly, including its verse numbering, wording, capitalization and punctuation; normalize layout whitespace only.",https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,Berean Standard Bible (BSB),1 John 3:1,"Behold what manner of love the Father has given to us, that we should be called children of God. And that is what we are! The reason the world does not know us is that it did not know Him.",1 John 3:2,"Beloved, we are now children of God, and what we will be has not yet been revealed. We know that when Christ appears, we will be like Him, for we will see Him as He is.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/engbsb_usfx.zip
replacement,Bible in Basic English (BBE),1 John 3:1,"See what great love the Father has given to us, naming us children of God; and such we are.",1 John 3:2,"My loved ones, now we are children of God, and at present it is not clear what we are to be. We are certain that at his revelation we will be like him; for we will see him as he is.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/engBBE_usfx.zip
replacement,King James Version (KJV),1 John 3:1,"Behold, what manner of love the Father hath bestowed upon us, that we should be called the sons of God: therefore the world knoweth us not, because it knew him not.",1 John 3:2,"Beloved, now are we the sons of God, and it doth not yet appear what we shall be: but we know that, when he shall appear, we shall be like him; for we shall see him as he is.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/eng-kjv2006_usfx.zip
replacement,World English Bible (WEB),1 John 3:1,"See how great a love the Father has given to us, that we should be called children of God! For this cause the world doesn’t know us, because it didn’t know him.",1 John 3:2,"Beloved, now we are children of God. It is not yet revealed what we will be; but we know that when he is revealed, we will be like him, for we will see him just as he is.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/engwebu_usfx.zip
replacement,Lutherbibel (1912),1 John 3:1,"Sehet, welch eine Liebe hat uns der Vater erzeigt, daß wir Gottes Kinder sollen heißen! Darum kennt euch die Welt nicht; denn sie kennt ihn nicht.",1 John 3:2,"Meine Lieben, wir sind nun Gottes Kinder; und es ist noch nicht erschienen, was wir sein werden. Wir wissen aber, wenn es erscheinen wird, daß wir ihm gleich sein werden; denn wir werden ihn sehen, wie er ist.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/deu1912_usfx.zip
replacement,Louis Segond (1910),1 John 3:1,"Voyez quel amour le Père nous a témoigné, pour que nous soyons appelés enfants de Dieu! Et nous le sommes. Si le monde ne nous connaît pas, c’est qu’il ne l’a pas connu.",1 John 3:2,"Bien-aimés, nous sommes maintenant enfants de Dieu, et ce que nous serons n’a pas encore été manifesté; mais nous savons que, lorsque cela sera manifesté, nous serons semblables à lui, parce que nous le verrons tel qu’il est.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/fraLSG_usfx.zip
replacement,Riveduta (1927),1 John 3:1,"Vedete di quale amore ci è stato largo il Padre, dandoci d’esser chiamati figliuoli di Dio! E tali siamo. Per questo non ci conosce il mondo: perché non ha conosciuto lui.",1 John 3:2,"Diletti, ora siamo figliuoli di Dio, e non è ancora reso manifesto quel che saremo. Sappiamo che quand’egli sarà manifestato saremo simili a lui, perché lo vedremo com’egli è.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/ita1927_usfx.zip
replacement,Reina-Valera (1909),1 John 3:1,"MIRAD cuál amor nos ha dado el Padre, que seamos llamados hijos de Dios: por esto el mundo no nos conoce, porque no le conoce á él.",1 John 3:2,"Muy amados, ahora somos hijos de Dios, y aun no se ha manifestado lo que hemos de ser; pero sabemos que cuando él apareciere, seremos semejantes á él, porque le veremos como él es.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://ebible.org/Scriptures/spaRV1909_usfx.zip
replacement,Sathyavedapusthakam (1910),1 John 3:1,"കാണ്മിൻ, നാം ദൈവമക്കൾ എന്നു വിളിക്കപ്പെടുവാൻ പിതാവു നമുക്കു എത്ര വലിയ സ്നേഹം നല്കിയിരിക്കുന്നു; അങ്ങനെ തന്നേ നാം ആകുന്നു. ലോകം അവനെ അറിഞ്ഞിട്ടില്ലായ്കകൊണ്ടു നമ്മെയും അറിയുന്നില്ല.",1 John 3:2,"പ്രിയമുള്ളവരേ, നാം ഇപ്പോൾ ദൈവമക്കൾ ആകുന്നു. നാം ഇന്നതു ആകും എന്നു ഇതുവരെ പ്രത്യക്ഷമായില്ല. അവൻ പ്രത്യക്ഷനാകുമ്പോൾ നാം അവനെ താൻ ഇരിക്കുംപോലെ തന്നേ കാണുന്നതാകകൊണ്ടു അവനോടു സദൃശന്മാർ ആകും എന്നു നാം അറിയുന്നു.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://api.getbible.net/v2/mal1910.json
replacement,Ang Dating Biblia (1905),1 John 3:1,"Masdan ninyo kung gaanong pagibig ang ipinagkaloob sa atin ng Ama, upang tayo'y mangatawag na mga anak ng Dios; at tayo'y gayon nga. Dahil dito'y hindi tayo nakikilala ng sanglibutan, sapagka't siya'y hindi nakilala nito.",1 John 3:2,"Mga minamahal, ngayon ay mga anak tayo ng Dios, at hindi pa nahahayag kung magiging ano tayo. Nalalaman natin, na kung siya'y mahayag, tayo'y magiging katulad niya: sapagka't siya'y ating makikitang gaya ng kaniyang sarili.",The full verse is lengthy; this full verse expresses the hope of being God's children.,https://api.getbible.net/v2/tagalog.json
